"investigation_rank","sp500_weight_rank","ticker","company","source_platform","israel_search_term","israel_search_url","http_check","scraper_priority","notes"
"15","26","AMAT","Applied Materials","Workday","q=Israel","https://amat.wd1.myworkdayjobs.com/External?q=Israel","200 OK","high","Workday tenant confirmed; likely strong Israel target."
"16","30","PLTR","Palantir Technologies","Lever","location=Tel Aviv, Israel","https://jobs.lever.co/palantir?location=Tel%20Aviv%2C%20Israel","200 OK","high","Lever board is scraper-friendly."
"17","31","NFLX","Netflix","Netflix careers","query=Israel","https://explore.jobs.netflix.net/careers?query=Israel&location=Israel","200 OK","low","Official search route works, but Israel roles may be sparse."
"18","39","IBM","IBM","IBM careers","q=Israel","https://www.ibm.com/careers/search?q=Israel","200 OK","medium","Official search route; needs API discovery."
"19","41","DELL","Dell Technologies","Oracle Cloud / company careers","location=Israel","https://jobs.dell.com/en/search-jobs","200 in web index, shell route may hit Oracle 404","high","Official search page exposes Israel and Herzliya filters; use browser/API discovery."
"20","42","TXN","Texas Instruments","Oracle Cloud Recruiting","location=Israel","https://careers.ti.com/en/sites/CX/requisitions?location=Israel&locationId=300000000361478&locationLevel=country&mode=location","200 in web index","medium","Official Oracle CX location route for Israel was found by search."
"21","44","KLAC","KLA","Workday","q=Israel","https://kla.wd1.myworkdayjobs.com/Search?q=Israel","200 OK","high","Workday tenant confirmed; KLA has visible Israel hiring footprint."
"22","46","SNDK","SanDisk","Company careers","keywords=Israel","https://www.sandisk.com/careers/jobs-at-sandisk?keywords=Israel","200 OK","high","Official SanDisk jobs page; Israel jobs visible in web results."
"23","47","QCOM","Qualcomm","Eightfold / company careers","query=Israel","https://careers.qualcomm.com/careers?query=Israel","200 OK","medium","Official search route; likely API-backed."
"24","49","PANW","Palo Alto Networks","SmartRecruiters","search=Israel","https://jobs.smartrecruiters.com/PaloAltoNetworks2?search=Israel","200 OK","high","SmartRecruiters is scraper-friendly; likely strong Israel target."
"25","53","ANET","Arista Networks","Company careers","search=Israel","https://www.arista.com/en/careers/job-openings?search=Israel","406 from shell","medium","Official board blocks shell fetch; browser/API discovery required."
"26","55","STX","Seagate","Phenom / company careers","location=Israel","https://seagatecareers.com/search-jobs/Israel/","200 OK","medium","Official location-style search route."
"27","56","ADI","Analog Devices","Workday","q=Israel","https://analogdevices.wd1.myworkdayjobs.com/External?q=Israel","200 OK","high","Workday tenant confirmed; likely strong semiconductor target."
"28","58","APP","AppLovin","Company careers","Israel","https://www.applovin.com/en/careers","200 OK","low","Official careers page works, but no stable Israel query was confirmed."
"29","61","CRWD","CrowdStrike","Workday","q=Israel","https://crowdstrike.wd5.myworkdayjobs.com/crowdstrikecareers?q=Israel","200 OK","medium","Workday tenant confirmed."
"30","62","WDC","Western Digital","SmartRecruiters","search=Israel","https://careers.smartrecruiters.com/WesternDigital?search=Israel","200 OK","high","SmartRecruiters page responds; likely scraper-friendly."
"31","64","APH","Amphenol","Company / business-unit boards","country=Israel","https://amphenol.com/careers","200 in web search","medium","Central Amphenol careers page requires selecting country/business unit; Amphenol Tel-Ad Israel exists."
"32","69","GLW","Corning","SAP SuccessFactors / company careers","locationsearch=Israel","https://corningjobs.corning.com/search/?q=&locationsearch=Israel","timeout from shell","low","Official careers source exists; Israel query needs validation."
"33","73","CRM","Salesforce","Salesforce careers","search=Israel","https://careers.salesforce.com/en/jobs/?search=Israel","200 OK","medium","Official search route works."
"34","82","UBER","Uber","Uber careers","location=Israel","https://www.uber.com/us/en/careers/list/?location=ISR--Israel","406 from shell","medium","Official careers route blocks shell fetch; browser/API discovery required."
"35","88","NOW","ServiceNow","ServiceNow careers","location=Israel","https://careers.servicenow.com/jobs?location=Israel","200 OK","medium","Official search route works."
"36","91","VRT","Vertiv","Workday","q=Israel","https://vertiv.wd1.myworkdayjobs.com/Vertiv_Jobs?q=Israel","500 from shell","low","Workday tenant exists but simple q route errored; needs tenant/API verification."
"37","99","CDNS","Cadence Design Systems","Workday","q=Israel","https://cadence.wd1.myworkdayjobs.com/External_Careers?q=Israel","200 OK","high","Workday tenant confirmed; likely strong Israel semiconductor/EDA target."
"38","102","ACN","Accenture","Accenture careers","jk=Israel","https://www.accenture.com/us-en/careers/jobsearch?jk=Israel","200 OK","medium","Official search route works but may include consulting/non-product roles."
"39","106","FTNT","Fortinet","Company careers","location=Israel","https://www.fortinet.com/corporate/careers/search-jobs?location=Israel","404 from shell","medium","Official careers area exists, but route needs browser/API validation."
"40","110","ADBE","Adobe","Phenom / company careers","keywords=Israel","https://careers.adobe.com/us/en/search-results?keywords=Israel","200 OK","medium","Official search route works."
"41","111","EQIX","Equinix","Company careers","keyword/location=Israel","https://careers.equinix.com/jobs/search?keyword=Israel","200 in web search","low","Search page currently does not list Israel as a country facet; lower priority."
"42","119","SNPS","Synopsys","Phenom / company careers","location=Israel","https://careers.synopsys.com/search-jobs/Israel/44408/294640/2","200 OK","high","Official location route works; likely strong EDA target."
"43","121","DDOG","Datadog","Company careers","location=Israel","https://careers.datadoghq.com/all-jobs/?location=Israel","200 OK","medium","Official jobs page works."
"44","126","ADP","Automatic Data Processing","ADP careers","location=Israel","https://jobs.adp.com/en/jobs/?location=Israel","403 from shell","low","Official ADP jobs page works generally; Israel appears low-confidence for this use case."
"45","131","CIEN","Ciena","Workday","q=Israel","https://ciena.wd5.myworkdayjobs.com/Careers?q=Israel","200 OK","medium","Workday tenant confirmed."
"46","133","INTU","Intuit","Phenom / company careers","location=Israel","https://jobs.intuit.com/search-jobs/Israel/27595/294640/2","200 OK","high","Official Israel location route works; strong Israel product/R&D target."
"47","144","COHR","Coherent","Workday / company careers","Israel","https://www.coherent.com/careers/job-search","200 in web search; Workday q route 500","medium","Official job search page exists; Workday tenant route needs discovery."
"48","145","NXPI","NXP Semiconductors","Workday","q=Israel","https://nxp.wd3.myworkdayjobs.com/careers?q=Israel","200 OK","high","Workday tenant confirmed; likely strong semiconductor target."
"49","148","LITE","Lumentum Holdings","Workday","q=Israel","https://lumentum.wd5.myworkdayjobs.com/LITE?q=Israel","200 OK","medium","Workday tenant confirmed."
"50","149","MPWR","Monolithic Power Systems","Company careers","Location: Israel","https://www.monolithicpower.com/about-mps/careers/job-listings.html","200 in web search","medium","Official job listings page includes Location: Israel in crawled text."
